stop_id,stop_name
740000001,Stockholm Centralstation
740000002,Göteborg Centralstation
740000003,Malmö Centralstation
740000004,Alvesta station
740000005,Uppsala Centralstation
740000006,Hässleholm Centralstation
740000007,Norrköping Centralstation
740000008,Skövde Centralstation
740000009,Linköping Centralstation
740000018,Alingsås station
740000019,Leksand station
740000020,Kalmar Centralstation
740000023,Säffle station
740000024,Söderbärke station
740000025,Storlien station
740000026,Säter station
740000027,Märsta station
740000030,Falun Centralstation
740000031,Flemingsberg station
740000032,Bräcke station
740000036,Floby station
740000037,Ånn station
740000039,Mellerud station
740000040,Herrljunga station
740000041,Tranås station
740000042,Hedemora station
740000044,Helsingborg Centralstation
740000045,Älmhult station
740000046,Ramnäs station
740000048,Charlottenberg station
740000049,Södertälje hamn station
740000050,Nyköping Centralstation
740000052,Värnamo station
740000055,Södertälje Syd station
740000058,Laholm station
740000059,Björkliden station
740000060,Falköping Centralstation
740000062,Smedjebacken station
740000063,Enafors station
740000064,Ängelholm station
740000067,Läggesta station
740000069,Ronneby station
740000070,Karlstad Centralstation
740000072,Enköping station
740000073,Karlshamn station
740000076,Åmål station
740000077,Hallsberg station
740000079,Sölvesborg station
740000080,Halmstad Centralstation
740000082,Västervik station
740000089,Hestra station
740000093,Lindesberg station
740000096,Emmaboda station
740000097,Tällberg station
740000099,Västerås Centralstation
740000100,Limmared station
740000105,Ånge station
740000108,Strängnäs station
740000110,Varberg station
740000111,Avesta Krylbo station
740000112,Gnosjö station
740000114,Abisko Turiststation
740000115,Åre station
740000119,Uddevalla Centralstation
740000120,Lund Centralstation
740000123,Östersund Centralstation
740000126,Järpen station
740000128,Bollnäs station
740000129,Degerfors station
740000130,Sundsvall Centralstation
740000133,Örebro Centralstation
740000135,Ängelsberg station
740000140,Nässjö Centralstation
740000141,Bromölla station
740000142,Undersåker station
740000144,Luleå Centralstation
740000146,Järvsö station
740000149,Nykvarn station
740000150,Boden C/Resecentrum
740000151,Abisko Östra station
740000153,Mörsil station
740000154,Söderhamn station
740000156,Älvsbyn station
740000158,Rättvik station
740000160,Borlänge Centralstation
740000161,Kungsbacka station
740000162,Grängesberg station
740000165,Nälden station
740000166,Katrineholm Centralstation
740000167,Köping station
740000170,Eskilstuna Centralstation
740000172,Motala station
740000173,Öxnered station
740000180,Mjölby station
740000181,Vännäs Resecentrum/Station
740000183,Töreboda station
740000185,Höör station
740000186,Skinnskatteberg station
740000187,Hudiksvall station
740000189,Nybro station
740000190,Umeå Centralstation
740000191,Trollhättan Centralstation
740000192,Kumla station
740000194,Laxå station
740000195,Sandviken station
740000196,Virsbo station
740000198,Ljusdal station
740000200,Kristianstad Centralstation
740000202,Insjön station
740000206,Kil station
740000208,Vassijaure station
740000210,Gävle Centralstation
740000214,Sala station
740000217,Grums station
740000218,Hofors station
740000219,Hällnäs station
740000220,Kramfors station
740000221,Arvika station
740000222,Kristinehamn station
740000228,Krokom station
